division,section,n
01,A,657461
02,A,11212
03,A,11440
05,B,7
06,B,36
07,B,12
08,B,2425
09,B,93
10,C,54557
11,C,3759
12,C,24
13,C,12772
14,C,39082
15,C,16281
16,C,26722
17,C,3619
18,C,14431
19,C,318
20,C,5436
21,C,623
22,C,10584
23,C,20330
24,C,3120
25,C,87426
26,C,7328
27,C,9480
28,C,22738
29,C,3024
30,C,4959
31,C,18647
32,C,33887
33,C,37955
35,D,13593
36,E,671
37,E,1373
38,E,6853
39,E,809
41,F,240883
42,F,11014
43,F,501747
45,G,156983
46,G,406191
47,G,685462
49,H,105646
50,H,3044
51,H,160
52,H,26750
53,H,4853
55,I,67392
56,I,327850
58,J,8854
59,J,11453
60,J,1610
61,J,6830
62,J,52456
63,J,46734
64,K,29439
65,K,377
66,K,105144
68,L,275337
69,M,12588
70,M,85114
71,M,26413
72,M,7294
73,M,37051
74,M,64711
75,M,1042
77,N,23413
78,N,961
79,N,16719
80,N,3017
81,N,77174
82,N,80638
84,O,79
85,P,33587
86,Q,24580
87,Q,7495
88,Q,11546
90,R,16961
91,R,1432
92,R,7328
93,R,48199
94,S,2745
95,S,35083
96,S,205254
97,T,21
98,T,9
99,U,5
