code,text
01.11.10,"Attività: Coltivazione di cereali (escluso il riso)

Questa attività **include**:
- coltivazione di cereali quali: grano, mais, sorgo, orzo, segale, avena, miglio
- coltivazione di altri cereali n.c.a.
- produzione di sementi di cereali

Questa attività **esclude**:
- coltivazione di riso, cfr. 01.12
- coltivazione di ortaggi, cfr. 01.13
- coltivazione di granoturco dolce, cfr. 01.13
- coltivazione di piante e sementi per la preparazione di fibre tessili, cfr. 01.16
- produzione di sementi di piante da foraggio, cfr. 01.19
- coltivazione di tuberi da foraggio, cfr. 01.19
- coltivazione di mais da foraggio, cfr. 01.19
- coltivazione di frutti oleosi, cfr. 01.26

Gerarchia: Coltivazioni agricole e produzione di prodotti animali, caccia e servizi connessi > Coltivazione di colture agricole non permanenti > Coltivazione di cereali (escluso il riso), legumi da granella e semi oleosi > Coltivazione di cereali (escluso il riso)"
01.11.20,"Attività: Coltivazione di semi oleosi

Questa attività **include**:
- coltivazione di semi oleosi quali: semi di soia, arachidi, cotone, ricino, lino, senape, semi del Niger, colza, cartamo, sesamo, girasole
- coltivazione di altri semi oleosi
- produzione di sementi di semi oleosi

Questa attività **esclude**:
- coltivazione di riso, cfr. 01.12
- coltivazione di ortaggi, cfr. 01.13
- coltivazione di granoturco dolce, cfr. 01.13
- coltivazione di piante e sementi per la preparazione di fibre tessili, cfr. 01.16
- produzione di sementi di piante da foraggio, cfr. 01.19
- coltivazione di tuberi da foraggio, cfr. 01.19
- coltivazione di mais da foraggio, cfr. 01.19
- coltivazione di frutti oleosi, cfr. 01.26

Gerarchia: Coltivazioni agricole e produzione di prodotti animali, caccia e servizi connessi > Coltivazione di colture agricole non permanenti > Coltivazione di cereali (escluso il riso), legumi da granella e semi oleosi > Coltivazione di semi oleosi"
01.11.30,"Attività: Coltivazione di legumi da granella

Questa attività **include**:
- coltivazione di legumi da granella quali: fagioli, fave, ceci, lenticchie, lupini, piselli
- coltivazione di altri legumi da granella
- produzione di sementi di legumi da granella

Questa attività **esclude**:
- coltivazione di riso, cfr. 01.12
- coltivazione di ortaggi, cfr. 01.13
- coltivazione di granoturco dolce, cfr. 01.13
- coltivazione di piante e sementi per la preparazione di fibre tessili, cfr. 01.16
- produzione di sementi di piante da foraggio, cfr. 01.19
- coltivazione di tuberi da foraggio, cfr. 01.19
- coltivazione di mais da foraggio, cfr. 01.19
- coltivazione di frutti oleosi, cfr. 01.26

Gerarchia: Coltivazioni agricole e produzione di prodotti animali, caccia e servizi connessi > Coltivazione di colture agricole non permanenti > Coltivazione di cereali (escluso il riso), legumi da granella e semi oleosi > Coltivazione di legumi da granella"
01.11.40,"Attività: Coltivazioni miste di cereali, legumi da granella e semi oleosi

Questa attività **esclude**:
- coltivazione di riso, cfr. 01.12
- coltivazione di ortaggi, cfr. 01.13
- coltivazione di granoturco dolce, cfr. 01.13
- coltivazione di piante e sementi per la preparazione di fibre tessili, cfr. 01.16
- produzione di sementi di piante da foraggio, cfr. 01.19
- coltivazione di tuberi da foraggio, cfr. 01.19
- coltivazione di mais da foraggio, cfr. 01.19
- coltivazione di frutti oleosi, cfr. 01.26

Gerarchia: Coltivazioni agricole e produzione di prodotti animali, caccia e servizi connessi > Coltivazione di colture agricole non permanenti > Coltivazione di cereali (escluso il riso), legumi da granella e semi oleosi > Coltivazioni miste di cereali, legumi da granella e semi oleosi"
01.12.00,"Attività: Coltivazione di riso

Gerarchia: Coltivazioni agricole e produzione di prodotti animali, caccia e servizi connessi > Coltivazione di colture agricole non permanenti > Coltivazione di riso"
01.13.10,"Attività: Coltivazione di ortaggi (inclusi i meloni) in foglia, a fusto, a frutto, in radici, bulbi e tuberi in piena aria (escluse barbabietola da zucchero e patate)

Questa attività **include**:
- coltivazione di ortaggi in foglia o a fusto come: carciofi, asparagi, cavoli, cavolfiori e broccoli, lattuga e cicoria, spinaci, finocchi, sedano, altri ortaggi in foglia o a fusto
- coltivazione di ortaggi a frutto come: cetrioli e cetriolini, melanzane, pomodori, peperoni, zucchine, fagiolini, angurie, meloni (cantalupo), altri meloni e vegetali da frutto
- coltivazione di ortaggi in radici, bulbi o tuberi come: carote, rape, ravanelli, aglio, cipolle (incluso lo scalogno), porro e altri vegetali agliacei, altre radici, bulbi o tuberi
- coltivazione di granoturco dolce
- coltivazione di funghi e tartufi
- produzione di sementi (esclusi i semi di barbabietola da zucchero, esclusi i semi delle altre barbabietole)
- coltivazione di altri ortaggi

Questa attività **esclude**:
- coltivazione di mais, cfr. 01.11
- coltivazione di mais da foraggio, cfr. 01.19
- produzione di semi di barbabietola (esclusi quelli di barbabietola da zucchero), cfr. 01.19
- coltivazione di fragole, cfr. 01.25
- coltivazione di peperoncino, pepe e altre spezie e piante aromatiche, cfr. 01.28
- coltivazione di miceli, cfr. 01.30
- produzione di piantine di ortaggi per il trapianto, cfr. 01.30
- raccolta di funghi e tartufi selvatici, cfr. 02.30

Gerarchia: Coltivazioni agricole e produzione di prodotti animali, caccia e servizi connessi > Coltivazione di colture agricole non permanenti > Coltivazione di ortaggi e meloni, radici e tuberi > Coltivazione di ortaggi (inclusi i meloni) in foglia, a fusto, a frutto, in radici, bulbi e tuberi in piena aria (escluse barbabietola da zucchero e patate)"
01.13.21,"Attività: Coltivazione di ortaggi (inclusi i meloni) in foglia, a fusto, a frutto, in radici, bulbi e tuberi in colture protette fuori suolo (escluse barbabietola da zucchero e patate)

Questa attività **include**:
- coltivazione fuori suolo (inclusa coltivazione idroponica e acquaponica) di ortaggi in foglia o a fusto come: carciofi, asparagi, cavoli, cavolfiori e broccoli, lattuga e cicoria, spinaci, finocchi, sedano, altri ortaggi in foglia o a fusto
- coltivazione fuori suolo (inclusa coltivazione idroponica e acquaponica) di ortaggi a frutto come: cetrioli e cetriolini, melanzane, pomodori, peperoni, zucchine, fagiolini, angurie, meloni (cantalupo), altri meloni e vegetali da frutto
- coltivazione fuori suolo (inclusa coltivazione idroponica e acquaponica) di ortaggi in radici, bulbi o tuberi come: carote, rape, ravanelli, aglio, cipolle (incluso lo scalogno), porro e altri vegetali agliacei, altre radici, bulbi o tuberi
- coltivazione fuori suolo (inclusa coltivazione idroponica e acquaponica) di granoturco dolce
- coltivazione fuori suolo (inclusa coltivazione idroponica e acquaponica) di funghi e tartufi
- produzione fuori suolo (inclusa coltivazione idroponica e acquaponica) di sementi (esclusi i semi di barbabietola da zucchero, esclusi i semi delle altrebarbabietole)
- coltivazione fuori suolo (inclusa coltivazione idroponica e acquaponica) di altri ortaggi

Questa attività **esclude**:
- coltivazione di mais, cfr. 01.11
- coltivazione di mais da foraggio, cfr. 01.19
- produzione di semi di barbabietola (esclusi quelli di barbabietola da zucchero), cfr. 01.19
- coltivazione di fragole, cfr. 01.25
- coltivazione di peperoncino, pepe e altre spezie e piante aromatiche, cfr. 01.28
- coltivazione di miceli, cfr. 01.30
- produzione di piantine di ortaggi per il trapianto, cfr. 01.30
- raccolta di funghi e tartufi selvatici, cfr. 02.30

Gerarchia: Coltivazioni agricole e produzione di prodotti animali, caccia e servizi connessi > Coltivazione di colture agricole non permanenti > Coltivazione di ortaggi e meloni, radici e tuberi > Coltivazione di ortaggi (inclusi i meloni) in foglia, a fusto, a frutto, in radici, bulbi e tuberi in colture protette (escluse barbabietola da zucchero e patate) > Coltivazione di ortaggi (inclusi i meloni) in foglia, a fusto, a frutto, in radici, bulbi e tuberi in colture protette fuori suolo (escluse barbabietola da zucchero e patate)"
01.13.29,"Attività: Coltivazione di ortaggi (inclusi i meloni) in foglia, a fusto, a frutto, in radici, bulbi e tuberi in colture protette ad esclusione delle colture fuori suolo (escluse barbabietola da zucchero e patate)

Questa attività **include**:
- coltivazione convenzionale di ortaggi in foglia o a fusto come: carciofi, asparagi, cavoli, cavolfiori e broccoli, lattuga e cicoria, spinaci, finocchi, sedano, altri ortaggi in foglia o a fusto
- coltivazione convenzionale di ortaggi a frutto come: cetrioli e cetriolini, melanzane, pomodori, peperoni, zucchine, fagiolini, angurie, meloni (cantalupo), altri meloni e vegetali da frutto
- coltivazione convenzionale di ortaggi in radici, bulbi o tuberi come: carote, rape, ravanelli, aglio, cipolle (incluso lo scalogno), porro e altri vegetali agliacei, altre radici, bulbi o tuberi
- coltivazione convenzionale di granoturco dolce
- coltivazione convenzionale di funghi e tartufi
- produzione convenzionale di sementi (esclusi i semi di barbabietola da zucchero, esclusi i semi delle altre barbabietole)
- coltivazione convenzionale di altri ortaggi

Questa attività **esclude**:
- coltivazione di mais, cfr. 01.11
- coltivazione di mais da foraggio, cfr. 01.19
- produzione di semi di barbabietola (esclusi quelli di barbabietola da zucchero), cfr. 01.19
- coltivazione di fragole, cfr. 01.25
- coltivazione di peperoncino, pepe e altre spezie e piante aromatiche, cfr. 01.28
- coltivazione di miceli, cfr. 01.30
- produzione di piantine di ortaggi per il trapianto, cfr. 01.30
- raccolta di funghi e tartufi selvatici, cfr. 02.30

Gerarchia: Coltivazioni agricole e produzione di prodotti animali, caccia e servizi connessi > Coltivazione di colture agricole non permanenti > Coltivazione di ortaggi e meloni, radici e tuberi > Coltivazione di ortaggi (inclusi i meloni) in foglia, a fusto, a frutto, in radici, bulbi e tuberi in colture protette (escluse barbabietola da zucchero e patate) > Coltivazione di ortaggi (inclusi i meloni) in foglia, a fusto, a frutto, in radici, bulbi e tuberi in colture protette ad esclusione delle colture fuori suolo (escluse barbabietola da zucchero e patate)"
01.13.30,"Attività: Coltivazione di barbabietola da zucchero

Questa attività **esclude**:
- coltivazione di mais, cfr. 01.11
- coltivazione di mais da foraggio, cfr. 01.19
- produzione di semi di barbabietola (esclusi quelli di barbabietola da zucchero), cfr. 01.19
- coltivazione di fragole, cfr. 01.25
- coltivazione di peperoncino, pepe e altre spezie e piante aromatiche, cfr. 01.28
- coltivazione di miceli, cfr. 01.30
- produzione di piantine di ortaggi per il trapianto, cfr. 01.30
- raccolta di funghi e tartufi selvatici, cfr. 02.30

Gerarchia: Coltivazioni agricole e produzione di prodotti animali, caccia e servizi connessi > Coltivazione di colture agricole non permanenti > Coltivazione di ortaggi e meloni, radici e tuberi > Coltivazione di barbabietola da zucchero"
01.13.40,"Attività: Coltivazione di patate

Questa attività **esclude**:
- coltivazione di mais, cfr. 01.11
- coltivazione di mais da foraggio, cfr. 01.19
- produzione di semi di barbabietola (esclusi quelli di barbabietola da zucchero), cfr. 01.19
- coltivazione di fragole, cfr. 01.25
- coltivazione di peperoncino, pepe e altre spezie e piante aromatiche, cfr. 01.28
- coltivazione di miceli, cfr. 01.30
- produzione di piantine di ortaggi per il trapianto, cfr. 01.30
- raccolta di funghi e tartufi selvatici, cfr. 02.30

Gerarchia: Coltivazioni agricole e produzione di prodotti animali, caccia e servizi connessi > Coltivazione di colture agricole non permanenti > Coltivazione di ortaggi e meloni, radici e tuberi > Coltivazione di patate"
