division,section,n
01,A,775
02,A,70
03,A,46
05,B,5
06,B,12
07,B,12
08,B,87
09,B,9
10,C,1070
11,C,154
12,C,10
13,C,239
14,C,527
15,C,311
16,C,507
17,C,207
18,C,240
19,C,46
20,C,440
21,C,49
22,C,308
23,C,355
24,C,144
25,C,1056
26,C,234
27,C,317
28,C,838
29,C,204
30,C,233
31,C,374
32,C,443
33,C,457
35,D,208
36,E,53
37,E,71
38,E,173
39,E,35
41,F,398
42,F,184
43,F,1189
45,G,937
46,G,3296
47,G,4900
49,H,270
50,H,55
51,H,8
52,H,333
53,H,60
55,I,389
56,I,655
58,J,53
59,J,239
60,J,17
61,J,20
62,J,354
63,J,146
64,K,169
65,K,12
66,K,209
68,L,545
69,M,432
70,M,516
71,M,729
72,M,118
73,M,296
74,M,998
75,M,30
77,N,389
78,N,72
79,N,192
80,N,58
81,N,305
82,N,434
84,O,294
85,P,819
86,Q,612
87,Q,121
88,Q,154
90,R,408
91,R,69
92,R,53
93,R,373
94,S,329
95,S,271
96,S,647
97,T,46
98,T,1
99,U,21
